TIME_STAMPING,PACKET_COUNT,GNSS_SPEED,GNSS_LATITUDE,GNSS_LONGITUDE,GNSS_ALTITUDE,GNSS_SATS,VOLTAGE,VIBRATION,EULERX,EULERY,EULERZ ,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,BNO_TEMPERATURE,MAGNETOMETER_X,MAGNETOMETER_Y,MAGNETOMETER_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,ALTITUDE,TEMPERATURE,PRESSURE,CM_ECHO,Unnamed: 32
1702453100.04802,87,0.0,0.0,0.0,0.0,0,16.39,0,94.0,9.56,6.44,94.0,9.56,6.44,-7.88,1.81,27.38,25.0,36.75,13.5,-47.25,1.24,-1.22,9.09,94.0,9.56,6.44,222.32,26.82,986.83,time,
1702453100.3060553,88,0.0,0.0,0.0,0.0,0,16.39,0,86.19,10.94,4.81,86.19,10.94,4.81,20.75,-5.81,23.69,25.0,37.0,8.06,-49.19,1.82,-1.09,9.61,86.19,10.94,4.81,222.32,26.82,986.83,time,
1702453100.5690205,89,0.0,0.0,0.0,0.0,0,16.39,0,81.5,12.69,3.06,81.5,12.69,3.06,2.56,-0.06,12.25,25.0,34.75,0.38,-51.25,1.9,-0.67,9.3,81.5,12.69,3.06,222.19,26.83,986.85,time,
1702453100.8325706,90,0.0,0.0,0.0,0.0,0,16.39,0,80.62,12.06,3.25,80.62,12.06,3.25,1.06,11.75,-5.12,25.0,34.75,-0.38,-51.5,1.97,-0.71,9.45,80.62,12.06,3.25,222.22,26.83,986.84,time,
1702453101.1026428,91,0.0,0.0,0.0,0.0,0,16.39,0,81.06,11.31,3.75,81.06,11.31,3.75,0.0,1.38,-2.25,25.0,36.25,-0.38,-50.38,2.2,-0.93,9.26,81.06,11.31,3.75,222.24,26.83,986.84,time,
1702453101.363303,92,0.0,0.0,0.0,0.0,0,16.39,0,81.44,11.75,3.5,81.44,11.75,3.5,-4.0,-2.44,-9.12,25.0,36.0,-0.38,-50.69,2.21,-0.93,9.8,81.44,11.75,3.5,222.27,26.83,986.84,time,
1702453101.630359,93,0.0,0.0,0.0,0.0,0,16.39,0,82.31,11.69,6.0,82.31,11.69,6.0,-6.88,5.62,5.5,25.0,36.25,2.88,-50.69,2.48,-0.81,9.46,82.31,11.69,6.0,222.37,26.83,986.82,time,
1702453101.897358,94,0.0,0.0,0.0,0.0,0,16.39,0,84.94,12.81,7.44,84.94,12.81,7.44,-1.56,-7.06,-6.69,25.0,35.56,5.69,-50.69,1.9,-1.44,8.91,84.94,12.81,7.44,222.18,26.83,986.85,time,
1702453102.1564224,95,0.0,0.0,0.0,0.0,0,16.39,0,89.56,11.81,6.56,89.56,11.81,6.56,-4.5,8.0,-36.0,25.0,36.0,6.06,-50.75,2.32,-1.34,9.34,89.56,11.81,6.56,222.39,26.84,986.82,time,
1702453102.4294877,96,0.0,0.0,0.0,0.0,0,16.39,0,94.0,9.56,7.25,94.0,9.56,7.25,-7.44,4.0,5.44,25.0,37.06,12.69,-48.75,2.33,-1.11,9.5,94.0,9.56,7.25,222.17,26.84,986.85,time,
